sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
220,0.00089615845,0.00015928122,0.023842305,0.0057222797,9.084842,16.587044,7.502202,9.096056,16.496065,7.400009
221,0.0010731535,0.00021899625,0.026180288,0.010356989,9.670123,16.572376,6.902253,9.653219,16.477642,6.824423
222,0.0008692437,0.00019173822,0.023552543,0.008447531,7.958106,14.522434,6.564328,7.9527926,14.37048,6.417687
223,0.0008826213,0.00040957297,0.023728482,0.013426217,12.143507,15.477939,3.3344316,12.137109,15.356091,3.2189817
224,0.0035183735,0.00085153006,0.04733146,0.020904858,8.806098,14.967518,6.16142,8.836108,14.831421,5.9953127
225,0.0010837502,0.00020754171,0.026291117,0.009907611,10.264369,17.442606,7.178237,10.265526,17.363922,7.0983963
226,0.0006007148,0.0010853808,0.01950451,0.016587134,10.829745,8.260608,-2.5691376,10.826523,7.558112,-3.2684107
227,0.0006971801,0.0018694097,0.021059223,0.019485647,9.498697,5.215102,-4.283595,9.714478,3.6664772,-6.0480003
228,0.00066135667,0.00017338623,0.020497587,0.0073371595,12.993897,18.80811,5.814212,13.150221,18.752659,5.602438
229,0.0009416365,0.00017654947,0.024456589,0.009043841,11.327495,18.597664,7.2701693,11.344793,18.5377,7.1929073
230,0.0011099608,0.00020188311,0.026653094,0.009078866,7.7314634,15.133539,7.402076,7.7434893,14.998994,7.2555046
231,0.001078055,0.0006404623,0.026180042,0.01629613,10.442053,12.703527,2.2614746,10.518994,12.464108,1.9451141
232,0.001460009,0.0001815965,0.030426651,0.009137289,9.194383,18.246862,9.05248,9.183987,18.185547,9.00156
233,0.0013275442,0.00037247018,0.029083606,0.013879345,11.416335,16.93591,5.519574,11.426409,16.84961,5.4232006
234,0.0006537442,0.00092478807,0.02038441,0.010028766,5.22894,3.7225964,-1.5063436,5.3138065,1.3258271,-3.9879794
235,0.000313797,0.00033027856,0.014163874,0.008873714,7.395466,7.1731496,-0.22231627,7.4452534,6.246232,-1.1990213
236,0.00019251269,8.4094536e-05,0.011075768,0.004760981,12.021642,15.618557,3.5969152,12.00988,15.978119,3.9682388
237,0.00026451529,7.0021255e-05,0.013015282,0.0055554765,10.282765,16.054974,5.772208,10.295649,15.947922,5.652273
238,0.0012636208,0.00030439917,0.028355543,0.011688167,10.182242,16.363976,6.181733,10.200557,16.262526,6.061969
239,0.0013640673,0.0005892733,0.029526027,0.014665358,11.6792755,15.324465,3.6451893,11.682006,15.199259,3.517253
240,0.0011445966,0.0002948535,0.026967334,0.01142613,12.394728,18.28519,5.890463,12.411192,18.229849,5.818657
241,0.0047561107,0.001351495,0.055118635,0.027952561,8.9588,14.423176,5.4643755,8.961006,14.267106,5.3061
242,0.0029585003,0.00053112954,0.043323707,0.01415539,6.3094716,13.768183,7.458711,6.3006263,13.58362,7.282994
243,0.0016760576,0.00020151463,0.032668006,0.00968769,5.9627795,15.162602,9.199823,6.0014415,15.039656,9.038214
244,0.00094634056,0.00013743207,0.024530971,0.008129584,7.016576,15.39617,8.379594,7.055748,15.277931,8.222183
245,0.00043283563,0.0011320346,0.016577328,0.016490934,7.467079,3.2917128,-4.1753664,7.4653196,0.5434208,-6.921899
246,0.0003778769,0.00068656134,0.015538624,0.009456479,6.4738607,3.8805704,-2.5932903,6.4514165,1.5870776,-4.864339
247,0.0003025901,8.5816624e-05,0.01386204,0.005348264,3.7228365,9.195669,5.4728327,3.8578067,8.660298,4.8024917
248,0.0014937489,0.00044397297,0.03074571,0.014869548,10.807016,16.076225,5.269209,10.8370285,15.975262,5.138233
249,0.0022280551,0.00046320827,0.037682265,0.01474826,9.194598,16.016094,6.821496,9.168678,15.922457,6.7537785
250,0.001287302,0.00036731223,0.02862658,0.010935082,6.738711,12.185162,5.4464507,6.7361526,11.915289,5.1791363
251,0.0010908826,0.0002649976,0.02634224,0.010228908,10.588599,16.73396,6.14536,10.64967,16.641106,5.991436
252,0.0010466418,0.00038135808,0.02582509,0.011734436,10.237222,14.621873,4.384651,10.251512,14.4761,4.2245884
253,0.00088157726,0.0001994145,0.023585517,0.009370425,10.596622,17.051659,6.455036,10.631439,16.975002,6.343563
254,0.0005087848,0.0008816316,0.018018242,0.01770061,12.967165,10.579635,-2.3875303,12.959494,10.188648,-2.7708454
255,0.0009826579,0.00013317002,0.025038807,0.0062080338,10.412742,19.092701,8.679959,10.390894,19.213697,8.8228035
256,0.00084282114,0.00044901005,0.023088291,0.012183696,11.761035,14.495829,2.7347937,11.818899,14.343857,2.5249577
257,0.0013929908,0.0006351859,0.029833479,0.015578252,12.067854,15.47833,3.4104757,12.079091,15.357476,3.2783852
258,0.004020124,0.0016264045,0.050699793,0.030083548,10.861179,14.791288,3.930109,10.8535185,14.646802,3.7932835
259,0.000679083,0.004558825,0.020783724,0.021973692,10.850721,2.581421,-8.2693,10.82976,-0.85461223,-11.684372
260,0.0017411986,0.00033383784,0.033329207,0.012283726,8.016423,15.189551,7.173128,8.547315,15.447902,6.900587
261,0.0010507783,0.00028709206,0.025893437,0.011225474,11.996891,17.63179,5.634899,12.00209,17.570026,5.567936
262,0.0010582712,0.0003858971,0.02585352,0.012050365,10.154896,14.536151,4.381255,10.157886,14.381105,4.22322
263,0.0006062925,0.0033219124,0.019699413,0.030132221,11.1038475,3.7167869,-7.3870606,11.205629,1.3126757,-9.892954
264,0.0029786674,0.001039119,0.04354345,0.017423702,8.716516,13.290083,4.5735674,8.734623,13.081845,4.3472223
265,0.0009654888,0.00012126195,0.024792174,0.008187498,7.354431,16.364658,9.010227,7.338404,16.272085,8.9336815
266,0.0009443633,0.0001820519,0.024579598,0.008274619,2.1999245,9.349363,7.149439,2.3546507,8.8205805,6.46593
267,0.0010451364,0.00026496325,0.025789013,0.011506128,10.766161,16.726034,5.959873,10.788222,16.648384,5.860162
268,0.00049541635,0.0005700518,0.017735504,0.010969143,10.845694,10.236254,-0.60943985,11.111286,9.82715,-1.2841358
269,0.0008118405,0.0005261589,0.022818977,0.013371123,10.826478,12.710017,1.8835392,10.913009,12.476969,1.5639601
270,0.0006604561,0.00022457454,0.02053808,0.008523351,9.365575,14.050408,4.6848335,9.391981,13.877257,4.485276
271,0.00093881285,0.00022300976,0.024461498,0.01047716,12.6904955,18.933046,6.242551,12.698338,18.886642,6.188305
272,0.0005541242,0.0007353383,0.018789805,0.015414139,11.746214,10.517412,-1.2288017,11.709729,10.113025,-1.5967045
273,0.0008874075,0.00017890049,0.02383485,0.00843273,5.074055,12.029171,6.955116,5.0698466,11.7494,6.6795535
274,0.0029371032,0.000100907324,0.043249384,0.007771178,-16.849102,-2.209137,14.639965,-16.498621,-7.4398785,9.058743
275,0.0011738143,0.00020222325,0.027290378,0.008482843,12.973666,20.611347,7.637681,13.011934,20.627357,7.615423
